"topic_id","article_id"
"2","335975"
"2","335979"
"2","335990"
"2","336012"
"2","336027"
"2","336032"
"2","336053"
"2","336143"
"2","336183"
"2","336365"
"2","336382"
"2","336604"
"2","336619"
"2","336662"
"2","336679"
"2","336697"
"2","336704"
"2","336710"
"2","336715"
"2","336737"
"2","336746"
"2","336747"
"2","336758"
"2","336761"
"2","336778"
"2","336788"
"2","336798"
"2","336807"
"2","336809"
"2","336819"
"2","336823"
"2","336916"
"2","336935"
"2","336975"
"2","337006"
"2","337008"
"2","337037"
"2","337090"
"2","337118"
"2","337127"
"2","337153"
"2","337228"
"2","337401"
"2","337445"
"2","337481"
"2","337482"
"2","337538"
"2","337550"
"2","337569"
"2","337583"
"2","337642"
"2","337644"
"2","337672"
"2","337692"
"2","337754"
"2","337768"
"2","337770"
"2","337824"
"2","337843"
"2","337859"
"2","337860"
"2","337888"
"2","337893"
"2","337902"
"2","337920"
"2","337924"
"2","337930"
"2","337935"
"2","337946"
"2","337959"
"2","337965"
"2","337971"
"2","337974"
"2","337981"
"2","337998"
"2","338018"
"2","338021"
"2","338033"
"2","338044"
"2","338047"
"2","338049"
"2","338050"
"2","338056"
"2","338058"
"2","338059"
"2","338062"
"2","338063"
"2","338064"
"2","338069"
"2","338074"
"2","338075"
"2","338083"
"2","338085"
"2","338087"
"2","338088"
"2","338089"
"2","338094"
"2","338098"
"2","338104"
"2","338105"
"2","338108"
"2","338116"
"2","338125"
"2","338135"
"2","338153"
"2","338160"
"2","338167"
"2","338168"
"2","338175"
"2","338217"
"2","338229"
"2","338253"
"2","338270"
"2","338278"
"2","338279"
"2","338282"
"2","338346"
"2","338364"
"2","338369"
"2","338455"
"2","338459"
"2","338462"
"2","338467"
"2","338482"
"2","338486"
"2","338489"
"2","338491"
"2","338500"
"2","338501"
"2","338505"
"2","338515"
"2","338538"
"2","338545"
"2","338555"
"2","338560"
"2","338569"
"2","338572"
"2","338595"
"2","338610"
"2","338620"
"2","338621"
"2","338624"
"2","338641"
"2","338654"
"2","338661"
"2","338665"
"2","338671"
"2","338687"
"2","338698"
"2","338711"
"2","338733"
"2","338859"
"2","338878"
"2","338883"
"2","338937"
"2","338963"
"2","338965"
"2","338967"
"2","338972"
"2","338988"
"2","339009"
"2","339017"
"2","339027"
"2","339038"
"2","339074"
"2","339090"
"2","339107"
"2","339114"
"2","339130"
"2","339148"
"2","339162"
"2","339176"
"2","339202"
"2","339204"
"2","339206"
"2","339222"
"2","339270"
"2","339277"
"2","339282"
"2","339319"
"2","339321"
"2","339322"
"2","339323"
"2","339340"
"2","339344"
"2","339345"
"2","339355"
"2","339416"
"2","339419"
"2","339421"
"2","339446"
"2","339517"
"2","339558"
"2","339652"
"2","339689"
"2","339692"
"2","339746"
"2","339783"
"2","339800"
"2","339809"
"2","339813"
"2","339815"
"2","339817"
"2","339827"
"2","339828"
"2","339829"
"2","339837"
"2","339840"
"2","339842"
"2","339852"
"2","339855"
"2","339864"
"2","339866"
"2","339867"
"2","339874"
"2","339875"
"2","339876"
"2","339904"
"2","339905"
"2","339914"
"2","339934"
"2","339944"
"2","339985"
"2","339990"
"2","339992"
"2","340001"
"2","340016"
"2","340023"
"2","340024"
"2","340029"
"2","340046"
"2","340050"
"2","340066"
"2","340100"
"2","340114"
"2","340126"
"2","340133"
"2","340135"
"2","340143"
"2","340144"
"2","340145"
"2","340153"
"2","340154"
"2","340156"
"2","340176"
